version,time_slice,tasks,runs,mean_elapsed_ms,stddev_elapsed_ms,mean_context_switches,stddev_context_switches,mean_avg_scan
baseline,1,1,10,57.700,0.483,24.600,1.265,1.000000
baseline,1,2,10,115.500,3.408,37.100,1.729,1.000000
baseline,1,4,10,230.300,2.584,48.400,1.838,1.000000
baseline,1,8,10,464.400,22.416,77.500,4.170,1.000000
improved,1,1,10,58.900,1.729,7.300,0.483,1.000000
improved,1,2,10,115.400,2.011,14.900,0.316,1.000000
improved,1,4,10,229.700,1.829,28.400,0.843,1.000000
improved,1,8,10,461.300,6.734,56.300,1.567,1.000000
improved,2,1,10,58.700,2.541,4.300,0.483,1.000000
improved,2,2,10,113.600,1.776,8.300,0.483,1.000000
improved,2,4,10,228.600,1.713,15.400,0.516,1.000000
improved,2,8,10,461.500,4.089,29.500,0.972,1.000000
