version,time_slice,tasks,run,elapsed_ms,context_switches,fetch_calls,queue_levels_scanned,avg_scan
baseline,1,1,01,58,24,24,24,1.000000
baseline,1,2,01,114,37,37,37,1.000000
baseline,1,4,01,229,50,50,50,1.000000
baseline,1,8,01,527,87,87,87,1.000000
baseline,1,1,02,57,24,24,24,1.000000
baseline,1,2,02,125,39,39,39,1.000000
baseline,1,4,02,230,47,47,47,1.000000
baseline,1,8,02,458,80,80,80,1.000000
baseline,1,1,03,57,24,24,24,1.000000
baseline,1,2,03,115,38,38,38,1.000000
baseline,1,4,03,229,47,47,47,1.000000
baseline,1,8,03,461,80,80,80,1.000000
baseline,1,1,04,58,27,27,27,1.000000
baseline,1,2,04,114,34,34,34,1.000000
baseline,1,4,04,236,51,51,51,1.000000
baseline,1,8,04,456,77,77,77,1.000000
baseline,1,1,05,57,24,24,24,1.000000
baseline,1,2,05,115,38,38,38,1.000000
baseline,1,4,05,231,50,50,50,1.000000
baseline,1,8,05,463,77,77,77,1.000000
baseline,1,1,06,58,27,27,27,1.000000
baseline,1,2,06,115,34,34,34,1.000000
baseline,1,4,06,226,47,47,47,1.000000
baseline,1,8,06,453,77,77,77,1.000000
baseline,1,1,07,58,24,24,24,1.000000
baseline,1,2,07,113,38,38,38,1.000000
baseline,1,4,07,231,47,47,47,1.000000
baseline,1,8,07,452,73,73,73,1.000000
baseline,1,1,08,58,24,24,24,1.000000
baseline,1,2,08,115,38,38,38,1.000000
baseline,1,4,08,230,47,47,47,1.000000
baseline,1,8,08,452,73,73,73,1.000000
baseline,1,1,09,58,24,24,24,1.000000
baseline,1,2,09,115,38,38,38,1.000000
baseline,1,4,09,229,47,47,47,1.000000
baseline,1,8,09,464,77,77,77,1.000000
baseline,1,1,10,58,24,24,24,1.000000
baseline,1,2,10,114,37,37,37,1.000000
baseline,1,4,10,232,51,51,51,1.000000
baseline,1,8,10,458,74,74,74,1.000000
improved,1,1,01,62,8,8,8,1.000000
improved,1,2,01,116,14,14,14,1.000000
improved,1,4,01,228,28,28,28,1.000000
improved,1,8,01,468,56,56,56,1.000000
improved,1,1,02,59,7,7,7,1.000000
improved,1,2,02,115,15,15,15,1.000000
improved,1,4,02,233,29,29,29,1.000000
improved,1,8,02,458,55,55,55,1.000000
improved,1,1,03,58,7,7,7,1.000000
improved,1,2,03,114,15,15,15,1.000000
improved,1,4,03,230,30,30,30,1.000000
improved,1,8,03,472,56,56,56,1.000000
improved,1,1,04,62,8,8,8,1.000000
improved,1,2,04,118,15,15,15,1.000000
improved,1,4,04,231,28,28,28,1.000000
improved,1,8,04,459,58,58,58,1.000000
improved,1,1,05,58,7,7,7,1.000000
improved,1,2,05,113,15,15,15,1.000000
improved,1,4,05,231,28,28,28,1.000000
improved,1,8,05,469,58,58,58,1.000000
improved,1,1,06,58,7,7,7,1.000000
improved,1,2,06,116,15,15,15,1.000000
improved,1,4,06,227,27,27,27,1.000000
improved,1,8,06,459,58,58,58,1.000000
improved,1,1,07,58,7,7,7,1.000000
improved,1,2,07,114,15,15,15,1.000000
improved,1,4,07,231,28,28,28,1.000000
improved,1,8,07,465,58,58,58,1.000000
improved,1,1,08,59,8,8,8,1.000000
improved,1,2,08,116,15,15,15,1.000000
improved,1,4,08,229,29,29,29,1.000000
improved,1,8,08,452,54,54,54,1.000000
improved,1,1,09,57,7,7,7,1.000000
improved,1,2,09,113,15,15,15,1.000000
improved,1,4,09,228,28,28,28,1.000000
improved,1,8,09,456,55,55,55,1.000000
improved,1,1,10,58,7,7,7,1.000000
improved,1,2,10,119,15,15,15,1.000000
improved,1,4,10,229,29,29,29,1.000000
improved,1,8,10,455,55,55,55,1.000000
improved,2,1,01,60,5,5,5,1.000000
improved,2,2,01,117,9,9,9,1.000000
improved,2,4,01,230,15,15,15,1.000000
improved,2,8,01,471,29,29,29,1.000000
improved,2,1,02,57,4,4,4,1.000000
improved,2,2,02,115,8,8,8,1.000000
improved,2,4,02,228,16,16,16,1.000000
improved,2,8,02,460,30,30,30,1.000000
improved,2,1,03,62,5,5,5,1.000000
improved,2,2,03,113,9,9,9,1.000000
improved,2,4,03,228,15,15,15,1.000000
improved,2,8,03,462,29,29,29,1.000000
improved,2,1,04,58,4,4,4,1.000000
improved,2,2,04,113,8,8,8,1.000000
improved,2,4,04,227,16,16,16,1.000000
improved,2,8,04,458,29,29,29,1.000000
improved,2,1,05,64,5,5,5,1.000000
improved,2,2,05,112,8,8,8,1.000000
improved,2,4,05,228,15,15,15,1.000000
improved,2,8,05,466,29,29,29,1.000000
improved,2,1,06,57,4,4,4,1.000000
improved,2,2,06,115,8,8,8,1.000000
improved,2,4,06,230,15,15,15,1.000000
improved,2,8,06,459,30,30,30,1.000000
improved,2,1,07,58,4,4,4,1.000000
improved,2,2,07,114,9,9,9,1.000000
improved,2,4,07,228,16,16,16,1.000000
improved,2,8,07,459,32,32,32,1.000000
improved,2,1,08,57,4,4,4,1.000000
improved,2,2,08,112,8,8,8,1.000000
improved,2,4,08,229,16,16,16,1.000000
improved,2,8,08,461,29,29,29,1.000000
improved,2,1,09,56,4,4,4,1.000000
improved,2,2,09,111,8,8,8,1.000000
improved,2,4,09,226,15,15,15,1.000000
improved,2,8,09,458,29,29,29,1.000000
improved,2,1,10,58,4,4,4,1.000000
improved,2,2,10,114,8,8,8,1.000000
improved,2,4,10,232,15,15,15,1.000000
improved,2,8,10,461,29,29,29,1.000000
