run,task1_units,task2_units,task3_units,max_min_ratio,jain_index,timeslice_preemptions
01,14279,14567,14874,1.041670,0.999722,51
02,14940,14854,15129,1.018514,0.999941,51
03,14939,14529,15108,1.039851,0.999732,51
04,15023,14991,15198,1.013808,0.999964,51
05,14919,14795,14930,1.009125,0.999983,51
06,14303,14290,14575,1.019944,0.999917,51
07,14965,15016,15374,1.027330,0.999855,51
08,15079,15010,15265,1.016989,0.999949,51
09,14841,14926,15150,1.020821,0.999924,51
10,14817,14884,15229,1.027806,0.999855,51
