version,run,elapsed_ms,waitpid_not_ready,wait_yields,waitpid_blocks,wakeups,context_switches
baseline,01,301,90,90,0,0,120
baseline,02,300,90,90,0,0,120
baseline,03,301,93,93,0,0,124
baseline,04,301,90,90,0,0,120
baseline,05,300,90,90,0,0,120
baseline,06,300,90,90,0,0,120
baseline,07,300,90,90,0,0,120
baseline,08,301,90,90,0,0,120
baseline,09,300,90,90,0,0,120
baseline,10,300,90,90,0,0,120
improved,01,301,0,0,1,1,17
improved,02,301,0,0,1,1,16
improved,03,301,0,0,1,1,16
improved,04,301,0,0,1,1,16
improved,05,301,0,0,1,1,16
improved,06,301,0,0,1,1,16
improved,07,301,0,0,1,1,16
improved,08,301,0,0,1,1,16
improved,09,301,0,0,1,1,16
improved,10,302,0,0,1,1,16
